                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8495,                 5.7636,                 4.1678,                      0,                      0,                      0,                      0,                 6.0583,                 5.8099,                 4.1296,             0.00032479,             0.00032479,             0.00032479
                      2,                 4.6144,                 4.7755,                 3.5096,                      0,                      0,                      0,                      0,                 6.2196,                 5.8279,                 4.4052,             0.00064183,             0.00064183,             0.00064183
                      3,                 3.3956,                 3.5007,                 2.6704,                0.89253,                0.05735,                0.03657,                0.01354,                  4.845,                 5.1173,                 3.4692,             0.00094238,             0.00094238,             0.00094238
                      4,                 3.0549,                  2.942,                 2.3206,                 0.9108,                0.10036,                0.09182,                0.03115,                  2.883,                 3.9986,                 2.3289,             0.00092575,             0.00092575,             0.00092575
                      5,                 2.9159,                 2.7237,                 2.1102,                0.59549,                0.16856,                   0.13,                0.05108,                 2.6466,                 3.0278,                  2.121,               0.000901,               0.000901,               0.000901
                      6,                 2.7853,                 2.5815,                 2.0415,                0.36294,                0.29198,                0.16634,                0.06648,                 2.6357,                 2.7523,                  2.124,             0.00087625,             0.00087625,             0.00087625
                      7,                 2.7335,                 2.4083,                 1.9456,                  0.393,                0.28891,                0.18106,                0.07246,                 2.5755,                  2.616,                 2.0696,              0.0008515,              0.0008515,              0.0008515
                      8,                 2.6214,                 2.2496,                  1.871,                0.50023,                0.33006,                 0.2829,                0.11195,                 2.4919,                 2.3611,                 1.9336,             0.00082675,             0.00082675,             0.00082675
                      9,                  2.589,                 2.1547,                 1.8142,                0.29846,                0.35816,                0.32719,                0.12983,                 2.4207,                 2.2788,                 1.8905,               0.000802,               0.000802,               0.000802
                     10,                 2.4956,                 2.0351,                 1.7605,                0.66393,                0.27281,                0.35925,                0.15214,                 2.3308,                 2.2483,                 1.8468,             0.00077725,             0.00077725,             0.00077725
                     11,                 2.4796,                 2.0065,                 1.7555,                0.39706,                0.36513,                0.37638,                 0.1442,                 2.4525,                 2.1244,                 1.9029,              0.0007525,              0.0007525,              0.0007525
                     12,                 2.4287,                 1.9833,                 1.7562,                0.39112,                0.38193,                0.41613,                0.17521,                 2.3315,                 1.9651,                  1.849,             0.00072775,             0.00072775,             0.00072775
                     13,                 2.3841,                 1.8962,                 1.6717,                0.39651,                0.52936,                0.47091,                0.19912,                 2.2762,                 1.8576,                 1.8016,               0.000703,               0.000703,               0.000703
                     14,                 2.3733,                  1.836,                 1.6688,                0.45457,                0.49272,                0.45851,                0.19237,                 2.2748,                 1.8664,                 1.8146,             0.00067825,             0.00067825,             0.00067825
                     15,                 2.3513,                 1.7961,                 1.6517,                 0.3864,                0.45488,                0.48011,                 0.2082,                 2.2234,                 1.8519,                 1.7748,              0.0006535,              0.0006535,              0.0006535
                     16,                 2.2963,                 1.7453,                  1.604,                0.46319,                 0.5532,                0.53055,                0.22534,                 2.2555,                 1.6812,                 1.7865,             0.00062875,             0.00062875,             0.00062875
                     17,                 2.2902,                 1.7172,                 1.5995,                0.48789,                0.55324,                0.53441,                0.23042,                 2.2326,                  1.657,                  1.772,               0.000604,               0.000604,               0.000604
                     18,                  2.275,                 1.7044,                 1.5883,                 0.5967,                0.43472,                0.52136,                0.21626,                 2.2178,                 1.7532,                 1.7454,             0.00057925,             0.00057925,             0.00057925
                     19,                 2.2496,                  1.699,                 1.6086,                0.48799,                0.53209,                 0.5487,                0.23197,                  2.201,                  1.669,                 1.7563,              0.0005545,              0.0005545,              0.0005545
                     20,                  2.231,                 1.6705,                 1.5751,                 0.5197,                0.52434,                0.56039,                0.23894,                 2.2018,                 1.6183,                 1.7503,             0.00052975,             0.00052975,             0.00052975
                     21,                 2.2444,                 1.6573,                 1.5943,                 0.5558,                0.57259,                0.58468,                0.25113,                 2.1225,                 1.6121,                 1.6944,               0.000505,               0.000505,               0.000505
                     22,                 2.2033,                 1.6192,                 1.5544,                0.68022,                 0.5398,                0.61893,                 0.2691,                 2.0818,                 1.5467,                 1.6754,             0.00048025,             0.00048025,             0.00048025
                     23,                 2.1687,                 1.6174,                 1.5599,                0.64136,                0.55467,                0.64046,                 0.2684,                 2.1577,                  1.552,                 1.7105,              0.0004555,              0.0004555,              0.0004555
                     24,                 2.1635,                 1.6044,                 1.5384,                0.61455,                0.60811,                0.66507,                0.28248,                 2.1062,                 1.4713,                  1.679,             0.00043075,             0.00043075,             0.00043075
                     25,                 2.1785,                 1.5907,                 1.5459,                0.68265,                0.57168,                0.67835,                 0.2875,                 2.0937,                 1.5448,                 1.6814,               0.000406,               0.000406,               0.000406
                     26,                   2.14,                 1.5462,                 1.5456,                0.62621,                0.61393,                0.68844,                0.29287,                 2.0644,                 1.4551,                 1.6605,             0.00038125,             0.00038125,             0.00038125
                     27,                 2.1373,                 1.5678,                 1.5063,                0.58974,                0.61308,                0.64929,                0.27929,                 2.0765,                 1.5194,                 1.6688,              0.0003565,              0.0003565,              0.0003565
                     28,                 2.1317,                  1.535,                 1.5132,                0.62537,                0.64611,                0.70693,                0.31176,                  2.021,                 1.4542,                 1.6446,             0.00033175,             0.00033175,             0.00033175
                     29,                  2.138,                 1.5172,                  1.538,                0.62823,                 0.6274,                0.68856,                0.29319,                 2.0527,                 1.4384,                 1.6488,               0.000307,               0.000307,               0.000307
                     30,                 2.0808,                 1.4867,                 1.4978,                0.74513,                0.62655,                0.73254,                0.31762,                 2.0278,                 1.3877,                 1.6378,             0.00028225,             0.00028225,             0.00028225
                     31,                 2.0449,                 1.5087,                 1.5309,                0.69386,                0.62025,                0.69983,                0.29147,                 2.0609,                 1.4146,                 1.6602,              0.0002575,              0.0002575,              0.0002575
                     32,                 2.0452,                 1.4801,                 1.5418,                0.70957,                0.66344,                0.73775,                0.31725,                 2.0204,                  1.393,                 1.6326,             0.00023275,             0.00023275,             0.00023275
                     33,                 2.0225,                 1.4455,                 1.5196,                0.73014,                0.68328,                0.75793,                0.32864,                 1.9789,                 1.3669,                 1.6109,               0.000208,               0.000208,               0.000208
                     34,                 2.0179,                 1.4318,                 1.5101,                 0.7767,                0.69621,                0.77438,                0.34146,                 1.9728,                 1.3352,                 1.6047,             0.00018325,             0.00018325,             0.00018325
                     35,                 1.9942,                 1.4227,                 1.4982,                0.72587,                0.68417,                0.76677,                0.33359,                 1.9797,                 1.3479,                 1.6152,              0.0001585,              0.0001585,              0.0001585
                     36,                 2.0025,                 1.4163,                 1.5138,                 0.7987,                0.70045,                0.79347,                0.35144,                 1.9466,                 1.3124,                 1.5972,             0.00013375,             0.00013375,             0.00013375
                     37,                  1.985,                 1.4116,                 1.5087,                0.78854,                0.69959,                0.78557,                0.34591,                 1.9617,                 1.3156,                 1.6037,               0.000109,               0.000109,               0.000109
                     38,                 1.9629,                 1.3888,                 1.4881,                0.81783,                0.70562,                0.79841,                0.35358,                 1.9585,                 1.2854,                 1.6052,              8.425e-05,              8.425e-05,              8.425e-05
